gid	gname	chr	start	end	logCPM	logFC.M46.SR46	PV.M46.SR46	FDR.M46.SR46	Am2_463	Am4_461	Am5_461	Am6_462	average	ward.D
TRINITY_DN100376_c0_g3_i1	NA	NA	NA	NA	0.814793840735963	8.83525076565299	2.27661816414145e-07	0.000111902478703329	0.594527334729543	1.93024931962725	-3.6607127223962	0.698182693835483	1	1
TRINITY_DN100846_c0_g1_i2	ccz1b	Chr09	19791836	19791836	4.07632628718845	2.19925614200995	0.000169595580728511	0.0342856614330832	3.85303301797448	5.01009797226768	2.20955532497733	4.01372155773615	1	1
TRINITY_DN101325_c0_g2_i1	pdik1l	Chr02	51099186	51099186	1.81066221840519	9.88823049242675	9.00586965066829e-08	5.01686978673228e-05	3.33562906734337	1.22183884051293	-3.6607127223962	0.971775266083222	1	1
TRINITY_DN102489_c0_g3_i1	NA	NA	NA	NA	2.41116554914378	10.4559892044036	0.000102414963775527	0.0217571043383468	-3.6607127223962	3.1564769078521	-3.6607127223962	3.58641685274438	1	1
TRINITY_DN103720_c0_g1_i2	NA	NA	NA	NA	2.92227047920687	-1.98600460902685	6.79497990583044e-06	0.00221216306856308	1.70130580009328	2.32432444947368	4.09614739160569	2.25837573634986	2	2
TRINITY_DN104490_c0_g1_i1	cit	Chr01	142829798	142829798	0.322619798574663	8.33379940914156	1.10570054646598e-06	0.000469791547437443	0.814617030735873	1.13198629174154	-3.6607127223962	0.0810740119914354	1	1
TRINITY_DN105911_c1_g4_i1	NA	NA	NA	NA	4.62085541171682	-1.67025109520067	2.58422605392139e-05	0.00696573964727971	4.06628287529034	4.29425252293505	5.65876231650487	3.51220221722307	2	2
TRINITY_DN106825_c0_g1_i1	NA	NA	NA	NA	1.50472982303945	-3.22013690401752	1.39422406669098e-08	9.19747602731832e-06	-0.646132761473281	0.351822987013316	3.05463837550868	-0.140458652708464	2	2
TRINITY_DN106855_c0_g1_i1	NA	NA	NA	NA	4.17531142455122	4.07318590970032	7.45005694590084e-05	0.0168961283530746	4.32101480664295	5.51220615143613	0.558574735005546	2.37812456731745	1	1
TRINITY_DN108182_c0_g5_i1	NA	NA	NA	NA	2.29741842138093	10.3911610521109	1.89352370345683e-05	0.00527409468869509	4.17462447237818	0.0422382414468185	-3.6607127223962	0.180265639375179	1	1
TRINITY_DN111328_c0_g1_i1	NA	NA	NA	NA	2.00296776303572	-6.9088228380236	4.0705784127277e-22	1.27551574562822e-18	-3.6607127223962	-1.33660796211453	3.92390510462715	-3.6607127223962	2	2
TRINITY_DN111790_c1_g2_i1	NA	NA	NA	NA	1.58027023458925	-3.42617066672962	4.42561694031369e-05	0.0109842936098796	-1.35794552335145	1.01117956793436	3.1761385341296	-1.903528219071	2	2
TRINITY_DN111958_c0_g1_i1	NA	NA	NA	NA	1.64129503960575	3.56731133805204	1.19460662630607e-05	0.00352310575391066	2.58239681414826	1.7150488380443	-1.28309080262741	1.59228922974926	1	1
TRINITY_DN112291_c0_g1_i1	NA	NA	NA	NA	3.77274567220769	2.0770776328272	8.25714526983237e-05	0.018481260502157	4.05552731889308	4.4371015986142	2.02190355365993	3.6309342009542	1	1
TRINITY_DN112881_c0_g1_i2	NA	NA	NA	NA	2.73293013835333	3.35684318196726	2.96972669064193e-05	0.00791969241287362	3.90188651716288	2.23002842637592	-0.138156558565863	2.67028693671964	1	1
TRINITY_DN112947_c0_g1_i2	NA	NA	NA	NA	2.08386463495886	3.07955809353393	2.82839873612163e-06	0.00104268087525143	2.50545204373808	2.26215013375274	-0.494976179673426	2.55488117443457	1	1
TRINITY_DN113301_c1_g1_i1	Xetrov90029739m	scaffold_6020	588	588	6.41489974696949	2.33459689953532	1.13689297862149e-05	0.00339281347477186	6.7969106908345	6.9144955181358	4.40718295148567	6.46521366918744	1	1
TRINITY_DN113348_c0_g3_i1	NA	NA	NA	NA	0.509364343978443	8.53101048031141	6.92960683073545e-08	4.1359853341161e-05	1.04955964714868	0.879324689941761	-3.6607127223962	0.856529954806571	1	1
TRINITY_DN113704_c0_g2_i1	NA	NA	NA	NA	0.412198334341709	8.42067892551921	2.5268818651179e-07	0.000121815143451491	0.404181312530233	0.959874472462529	-3.6607127223962	0.99920349027799	1	1
TRINITY_DN115526_c0_g1_i1	NA	NA	NA	NA	1.76237317005383	3.42334311521655	4.01702549157733e-06	0.00141829288764592	2.45723502611796	1.7304384268545	-1.06708334609798	2.15242110920167	1	1
TRINITY_DN115726_c0_g4_i1	fastkd5	Chr01	6365286	6365286	2.14306217229367	-2.47809759274882	0.00025354443643631	0.0477883603953791	0.184848610779158	-0.00795491710130809	3.49341640973263	2.02477924034414	2	2
TRINITY_DN115817_c2_g3_i1	NA	NA	NA	NA	0.136282521402733	-3.92735670887035	9.81275650613994e-06	0.00303686642093723	-3.6607127223962	-2.43676520502965	1.75031558512272	-0.814925164510222	2	2
TRINITY_DN116959_c0_g6_i1	NA	NA	NA	NA	5.07523762071558	13.1498850931592	1.78227606097686e-05	0.00507705639733725	5.74201536285646	-2.43676520502965	-3.6607127223962	6.34476445020105	1	1
TRINITY_DN117586_c0_g1_i1	NA	NA	NA	NA	1.12125810878463	4.32383504935867	9.21798014881819e-05	0.0199361094982981	0.470459911960734	2.33443123601914	-2.23917019017686	0.99920349027799	1	1
TRINITY_DN117967_c0_g1_i1	kdsr	Chr06	52530497	52530497	2.69872000118634	10.7474844980058	0.000119185619379642	0.0246921083190815	-3.6607127223962	4.18957519699092	-3.6607127223962	2.87662347860944	1	1
TRINITY_DN119005_c4_g1_i1	NA	NA	NA	NA	2.47476020933054	-2.28081537849895	5.6885948099031e-06	0.00190458929593244	1.99946316317405	1.42466782930445	3.75688804955557	0.943815459418791	2	2
TRINITY_DN119281_c1_g1_i1	NA	NA	NA	NA	1.21813595112665	3.63193115717309	3.09798930296185e-05	0.00817477851017345	0.913230584044068	1.63553767553927	-1.68333903297778	1.99783750104216	1	1
TRINITY_DN119416_c2_g1_i1	NA	NA	NA	NA	2.87334172039979	2.87372533132427	1.2242666346311e-06	0.000508883773801669	3.55767730240243	2.99382954946998	0.422314901114535	3.07009974382598	1	1
TRINITY_DN119920_c0_g2_i1	NA	NA	NA	NA	1.54200200526617	3.18774568604625	5.25362747252385e-05	0.0126632628347335	1.72864542401643	2.36433359739487	-1.06708334609798	1.46035926753081	1	1
TRINITY_DN121083_c0_g1_i2	cdyl	Chr06	50445598	50445598	1.88256305922115	-3.82489126648156	4.40054419237272e-13	6.48899069496466e-10	0.103644451427006	-0.638427950674084	3.55987682340548	0.0287976934106882	2	2
TRINITY_DN121226_c0_g1_i3	NA	NA	NA	NA	3.75718950777341	4.59281385593184	6.01811631455769e-06	0.00198502815491227	4.39113232996667	2.03311689846848	-0.305562913708575	4.82716277184175	1	1
TRINITY_DN121359_c1_g3_i1	NA	NA	NA	NA	3.53411075734555	4.35918787717014	0.000136614936255858	0.0280710100169004	2.52117280450832	5.11495737950271	-0.305562913708575	2.32492201789245	1	1
TRINITY_DN121465_c5_g5_i1	NA	NA	NA	NA	1.18041379488934	9.2243540541151	2.97492333020604e-10	2.66340635862875e-07	1.75547657246024	1.42466782930445	-3.6607127223962	1.61018878898638	1	1
TRINITY_DN122900_c0_g1_i1	kit	Chr01	30989876	30989876	3.7497029015651	3.70780302523922	5.11846209551615e-07	0.000237610384834072	3.11511869637654	4.80552427082719	0.492052906128024	3.97280101790749	1	1
TRINITY_DN123443_c0_g2_i1	lzts1	Chr03	119041962	119041962	1.90378425907643	2.73803495533611	3.53069555128566e-05	0.00912448207006484	1.97683962743609	2.28317403360719	-0.365979096808906	2.43948136275052	1	1
